COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	0.32235145800824067	0.5701979198966709	0.9793875716855108	Host	COG1520	GC_00002831, GC_00012095, GC_00021660, GC_00033455, GC_00041067	0.2	0.1429	50	21
AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	0.32235145800824067	0.5701979198966709	0.9793875716855108	Host	COG0464	GC_00008831, GC_00009080, GC_00023033, GC_00024781, GC_00029821, GC_00032109, GC_00032534, GC_00034867, GC_00036832, GC_00037740, GC_00038746, GC_00041221	0.2	0.1429	50	21
ABC-type maltose transport system, permease component	0.32235145800824067	0.5701979198966709	0.9793875716855108	Host	COG3833	GC_00002551, GC_00006891	0.2	0.1429	50	21
Maltose-binding periplasmic protein MalE	0.32235145800824067	0.5701979198966709	0.9793875716855108	Host	COG2182	GC_00002292, GC_00007519	0.2	0.1429	50	21
CHAD domain (function unknown)	0.3223514580082397	0.5701979198966713	0.9793875716855108	Environment	COG5607	GC_00001341, GC_00003607, GC_00007244, GC_00010001, GC_00011248, GC_00013071, GC_00013443, GC_00016039, GC_00016180, GC_00018427, GC_00019148, GC_00023842, GC_00024244, GC_00029518, GC_00030687	0.8	0.8571	50	21
Plasmid maintenance system killer protein	0.31535134025247363	0.5744148043426927	0.983344577625792	Environment	COG3549	GC_00002957, GC_00006179, GC_00007045, GC_00009829	0.18	0.2381	50	21
Predicted nucleotidyltransferase	0.31535134025247363	0.5744148043426927	0.983344577625792	Environment	COG1669	GC_00011736, GC_00011809, GC_00012760, GC_00018486, GC_00018847, GC_00018902, GC_00020575, GC_00020970, GC_00024213, GC_00030798, GC_00032550, GC_00036672	0.18	0.2381	50	21
Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily	0.31535134025247363	0.5744148043426927	0.983344577625792	Environment	COG3021	GC_00005019, GC_00009066, GC_00010231, GC_00016707, GC_00016972, GC_00019318, GC_00021176, GC_00021312, GC_00025906, GC_00028063, GC_00038096, GC_00040700	0.18	0.2381	50	21
Predicted amidohydrolase YtcJ	0.31535134025247363	0.5744148043426927	0.983344577625792	Environment	COG1574	GC_00002982, GC_00008771, GC_00010861, GC_00015010, GC_00023674, GC_00024327, GC_00028445, GC_00030750, GC_00040256	0.18	0.2381	50	21
Stress response protein YsnF (function unknown)	0.3021084057485737	0.5825636490061582	0.9956366270628939	Environment	COG3861	GC_00002064, GC_00003095, GC_00004066, GC_00010817, GC_00010818, GC_00012033, GC_00012903, GC_00018541, GC_00021715, GC_00023610, GC_00025034, GC_00027618, GC_00029045, GC_00029948, GC_00032337, GC_00036119, GC_00037736	0.5	0.5714	50	21
Ribosomal protein L37AE/L43A	0.3021084057485733	0.5825636490061583	0.9956366270628939	Host	COG1997	GC_00001307	0.5	0.4286	50	21
Uncharacterized membrane protein HdeD, DUF308 family	0.295308363005828	0.5868387161878177	0.9996192216090757	Environment	COG3247	GC_00002273, GC_00002830, GC_00004117, GC_00006532, GC_00007870, GC_00011843, GC_00015455, GC_00016427, GC_00018539, GC_00030119, GC_00041063	0.36	0.4286	50	21
Cadmium resistance protein CadD, predicted permease	0.295308363005828	0.5868387161878177	0.9996192216090757	Environment	COG4300	GC_00001399	0.36	0.4286	50	21
Monoamine oxidase	0.295308363005828	0.5868387161878177	0.9996192216090757	Environment	COG1231	GC_00001932, GC_00002524, GC_00007053, GC_00031798, GC_00041004	0.36	0.4286	50	21
ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	0.29530836300582736	0.5868387161878182	0.9996192216090757	Host	COG0444	GC_00001542, GC_00001594, GC_00004368, GC_00009757, GC_00010982, GC_00011677, GC_00012453, GC_00013146, GC_00013930, GC_00014412, GC_00019864, GC_00025851, GC_00033213, GC_00034618, GC_00035582, GC_00035592, GC_00041860	0.64	0.5714	50	21
ABC-type spermidine/putrescine transport system, permease component II	0.28805163703517805	0.5914718007735101	0.9999358117319826	Environment	COG1177	GC_00005234, GC_00012183, GC_00013357, GC_00033655, GC_00038205	0.14	0.1905	50	21
Aminopeptidase C	0.28805163703517805	0.5914718007735101	0.9999358117319826	Environment	COG3579	GC_00002330, GC_00004763, GC_00007613, GC_00011698	0.14	0.1905	50	21
Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family	0.28805163703517805	0.5914718007735101	0.9999358117319826	Environment	COG4115	GC_00002629, GC_00033797	0.14	0.1905	50	21
tRNA A37 threonylcarbamoyladenosine modification protein TsaB	0.2880516370351775	0.5914718007735104	0.9999358117319826	Host	COG1214	GC_00001118, GC_00007090, GC_00010585, GC_00011937, GC_00021136, GC_00021456, GC_00023484, GC_00029367, GC_00035159, GC_00035545, GC_00036722	0.86	0.8095	50	21
ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain	0.2880516370351775	0.5914718007735104	0.9999358117319826	Host	COG1879	GC_00001026, GC_00001569, GC_00017609, GC_00028305, GC_00040029	0.86	0.8095	50	21
Membrane protein implicated in regulation of membrane protease activity	0.2800450785594462	0.5966716721726073	0.9999358117319826	Environment	COG1585	GC_00001223, GC_00004103, GC_00012633, GC_00014533, GC_00019627, GC_00029007	0.7	0.7619	50	21
Carbon starvation protein CstA	0.2800450785594462	0.5966716721726073	0.9999358117319826	Environment	COG1966	GC_00001401, GC_00001659	0.7	0.7619	50	21
Uncharacterized membrane protein YjiH, contains nucleoside recognition GATE domain	0.28004507855944594	0.5966716721726074	0.9999358117319826	Host	COG3314	GC_00001701, GC_00035721	0.3	0.2381	50	21
Arylamine N-acetyltransferase	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG2162	GC_00015467, GC_00017493, GC_00018622, GC_00024478, GC_00033627	0.06	0.0952	50	21
Aminoglycoside phosphotransferase	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG3231	GC_00003149, GC_00005389	0.06	0.0952	50	21
Plasmid stability protein	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG4691	GC_00008260, GC_00021452, GC_00040871	0.06	0.0952	50	21
Tryptophanase	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG3033	GC_00004730	0.06	0.0952	50	21
Uncharacterized protein YfbU, UPF0304 family	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG3013	GC_00005177, GC_00017011	0.06	0.0952	50	21
Streptomycin 6-kinase	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG3570	GC_00003148	0.06	0.0952	50	21
Sulfatase maturation enzyme AslB, radical SAM superfamily	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG0641	GC_00008202, GC_00015509, GC_00024597	0.06	0.0952	50	21
Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family	0.27995184149837027	0.5967327832483739	0.9999358117319826	Environment	COG2373	GC_00021862, GC_00028190, GC_00036100, GC_00039182, GC_00040941	0.06	0.0952	50	21
ADP-glucose pyrophosphorylase	0.2799518414983683	0.5967327832483751	0.9999358117319826	Host	COG0448	GC_00000755, GC_00004268, GC_00010925, GC_00012477	0.94	0.9048	50	21
Pullulanase/glycogen debranching enzyme	0.2799518414983683	0.5967327832483751	0.9999358117319826	Host	COG1523	GC_00000764, GC_00004387, GC_00005984, GC_00008682, GC_00009270, GC_00014643, GC_00029506, GC_00040615	0.94	0.9048	50	21
Precorrin-6B methylase 1	0.2791819059656701	0.5972379264624876	0.9999358117319826	Host	COG2241	GC_00002848, GC_00005691, GC_00005948, GC_00007985, GC_00013185, GC_00014016, GC_00017895, GC_00024261, GC_00036615	0.4	0.3333	50	21
GTPase, G3E family	0.2791819059656701	0.5972379264624876	0.9999358117319826	Host	COG0523	GC_00001522, GC_00020745	0.4	0.3333	50	21
UDP-N-acetylglucosamine 2-epimerase	0.2791819059656701	0.5972379264624876	0.9999358117319826	Host	COG0381	GC_00001576, GC_00004351, GC_00038357	0.4	0.3333	50	21
Protein affecting phage T7 exclusion by the F plasmid, UPF0716 family	0.2722005807667912	0.6018594096655852	1	Host	COG3030	GC_00001768, GC_00002184, GC_00003977, GC_00004292, GC_00004489, GC_00011153, GC_00014218, GC_00019686, GC_00020473, GC_00020868, GC_00027825, GC_00031183, GC_00033407, GC_00035485, GC_00035938, GC_00042064	0.9	0.8571	50	21
Predicted P-loop ATPase, KAP-like	0.27220058076679055	0.6018594096655856	1	Environment	COG4928	GC_00013818, GC_00018923, GC_00020465, GC_00021505, GC_00026430, GC_00030495, GC_00038715	0.1	0.1429	50	21
Hydroxymethylglutaryl-CoA reductase	0.27220058076679055	0.6018594096655856	1	Environment	COG1257	GC_00003040	0.1	0.1429	50	21
DNA-binding transcriptional regulator GbsR, MarR family	0.27220058076679055	0.6018594096655856	1	Environment	COG1510	GC_00012295, GC_00017342, GC_00018965, GC_00024205, GC_00027184, GC_00031948, GC_00041769	0.1	0.1429	50	21
Fructose-bisphosphate aldolase class 1	0.27220058076679055	0.6018594096655856	1	Environment	COG3588	GC_00003030	0.1	0.1429	50	21
Biotin carboxylase	0.27220058076679055	0.6018594096655856	1	Environment	COG0439	GC_00003953, GC_00009198, GC_00011441, GC_00022407	0.1	0.1429	50	21
3-hydroxy-3-methylglutaryl CoA synthase	0.27220058076679055	0.6018594096655856	1	Environment	COG3425	GC_00005827, GC_00006711	0.1	0.1429	50	21
Uncharacterized membrane protein RarD, contains two EamA domains	0.2681652373098752	0.6045652103779545	1	Environment	COG2962	GC_00000772, GC_00004202	0.86	0.9048	50	21
Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit	0.2681652373098744	0.6045652103779551	1	Host	COG1014	GC_00004818, GC_00012896, GC_00013719	0.14	0.0952	50	21
Acetaldehyde dehydrogenase (acetylating)	0.2681652373098744	0.6045652103779551	1	Host	COG4569	GC_00002481	0.14	0.0952	50	21
Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	0.2681652373098744	0.6045652103779551	1	Host	COG0433	GC_00005269, GC_00009791, GC_00012907, GC_00015945, GC_00036020	0.14	0.0952	50	21
Na+/H+ antiporter NhaC	0.2681652373098744	0.6045652103779551	1	Host	COG1757	GC_00002679	0.14	0.0952	50	21
DNA-binding transcriptional regulator YbjK	0.24591752527357044	0.6199644573155202	1	Environment	COG3226	GC_00004690, GC_00005612, GC_00011918, GC_00012048, GC_00013686, GC_00018273, GC_00022904, GC_00023606, GC_00024381, GC_00026217, GC_00029092, GC_00030379, GC_00031225, GC_00033148, GC_00034709, GC_00036787, GC_00037705, GC_00038406, GC_00038675, GC_00039214	0.32	0.381	50	21
Non-ribosomal peptide synthetase component F	0.2412173662485883	0.6233282480716869	1	Environment	COG1020	GC_00003969, GC_00005052, GC_00007999, GC_00008460, GC_00008515, GC_00009249, GC_00011179, GC_00011885, GC_00011886, GC_00012539, GC_00012682, GC_00015276, GC_00017178, GC_00017328, GC_00017368, GC_00018724, GC_00019792, GC_00020171, GC_00020806, GC_00021103, GC_00022385, GC_00022855, GC_00023891, GC_00024698, GC_00024880, GC_00024921, GC_00025476, GC_00025966, GC_00026437, GC_00026957, GC_00027620, GC_00030524, GC_00031362, GC_00033158, GC_00034162, GC_00034841, GC_00035834, GC_00035841, GC_00036991, GC_00037536, GC_00041128, GC_00041513, GC_00041538, GC_00041807	0.46	0.5238	50	21
5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB	0.23716786501298032	0.6262591567419543	1	Host	COG1401	GC_00022009, GC_00023795, GC_00025375, GC_00031610, GC_00036946	0.08	0.0476	50	21
Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)	0.23716786501298032	0.6262591567419543	1	Host	COG2039	GC_00010029, GC_00018526, GC_00031753, GC_00034594, GC_00037886	0.08	0.0476	50	21
Uncharacterized conserved protein, contains von Willebrand factor type A (vWA) domain	0.23716786501298032	0.6262591567419543	1	Host	COG3552	GC_00010777, GC_00025771, GC_00029860, GC_00037570	0.08	0.0476	50	21
Phospholipase C	0.23716786501298032	0.6262591567419543	1	Host	COG3511	GC_00005220, GC_00030053	0.08	0.0476	50	21
Thiamine biosynthesis lipoprotein ApbE	0.23716786501298032	0.6262591567419543	1	Host	COG1477	GC_00008713, GC_00019314, GC_00036643, GC_00040491, GC_00041654	0.08	0.0476	50	21
Copper homeostasis protein CutC	0.23716786501298032	0.6262591567419543	1	Host	COG3142	GC_00020527, GC_00021054, GC_00021620, GC_00026090, GC_00040807	0.08	0.0476	50	21
Adenine-specific DNA methylase, contains a Zn-ribbon domain	0.23716786501298032	0.6262591567419543	1	Host	COG1743	GC_00005644, GC_00010006	0.08	0.0476	50	21
L-fucose mutarotase/ribose pyranase, RbsD/FucU family	0.23716786501298032	0.6262591567419543	1	Host	COG4154	GC_00004625	0.08	0.0476	50	21
Uncharacterized protein YuzE	0.23716786501298032	0.6262591567419543	1	Host	COG5428	GC_00008156, GC_00009854	0.08	0.0476	50	21
Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily	0.23716786501298032	0.6262591567419543	1	Host	COG2843	GC_00014300, GC_00017944, GC_00019808, GC_00020698, GC_00032198, GC_00034140	0.08	0.0476	50	21
Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	0.23716786501298032	0.6262591567419543	1	Host	COG4753	GC_00005196	0.08	0.0476	50	21
Uncharacterized protein, contains Primase-polymerase (Primpol) domain	0.23716786501298032	0.6262591567419543	1	Host	COG4983	GC_00006740, GC_00009535, GC_00033121, GC_00035438	0.08	0.0476	50	21
Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	0.23716786501297854	0.6262591567419555	1	Environment	COG1168	GC_00001047, GC_00002559, GC_00005614, GC_00005899, GC_00020248, GC_00022030, GC_00029730, GC_00029881	0.92	0.9524	50	21
DNA-binding transcriptional regulator YhcF, GntR family	0.23716786501297854	0.6262591567419555	1	Environment	COG1725	GC_00000817, GC_00002691, GC_00004245, GC_00008669, GC_00009009, GC_00012430, GC_00015053, GC_00021230, GC_00021810, GC_00025604, GC_00036311, GC_00037083, GC_00037251, GC_00039135, GC_00039978, GC_00041385, GC_00041710	0.92	0.9524	50	21
NAD dependent epimerase/dehydratase family enzyme	0.23716786501297854	0.6262591567419555	1	Environment	COG1090	GC_00001022, GC_00005839, GC_00008113, GC_00009337, GC_00018193, GC_00018936, GC_00018937, GC_00018938, GC_00020068, GC_00020099, GC_00033316	0.92	0.9524	50	21
Flp pilus assembly protein CpaB	0.2109806765208636	0.6459998433509226	1	Environment	COG3745	GC_00004033, GC_00005430, GC_00006052, GC_00008786, GC_00010690, GC_00011781, GC_00012168, GC_00013089, GC_00013434, GC_00015122, GC_00016874, GC_00019070, GC_00019502, GC_00021151, GC_00023366, GC_00024127, GC_00028344, GC_00032375, GC_00033193, GC_00036106, GC_00036513, GC_00037865, GC_00040324	0.56	0.619	50	21
Adenine specific DNA methylase Mod	0.2109806765208636	0.6459998433509226	1	Environment	COG2189	GC_00002189, GC_00002987, GC_00004364, GC_00005838, GC_00005988, GC_00007507, GC_00009244, GC_00010467, GC_00010801, GC_00011482, GC_00013869, GC_00014670, GC_00015295, GC_00015473, GC_00019068, GC_00020164, GC_00020404, GC_00022051, GC_00026163, GC_00029256, GC_00030497, GC_00031794, GC_00032212, GC_00032991, GC_00041278, GC_00041576, GC_00041688	0.56	0.619	50	21
Na+/glutamate symporter	0.20757093292500312	0.6486779802453696	1	Environment	COG0786	GC_00000948, GC_00005256, GC_00008525, GC_00016227, GC_00018547, GC_00019224, GC_00028130, GC_00030893, GC_00034642	0.76	0.8095	50	21
Uncharacterized conserved protein, DUF885 familyt	0.20757093292500312	0.6486779802453696	1	Environment	COG4805	GC_00000955, GC_00041076	0.76	0.8095	50	21
NAD/NADP transhydrogenase beta subunit	0.20757093292500234	0.6486779802453702	1	Host	COG1282	GC_00002068, GC_00017393	0.24	0.1905	50	21
ADP-ribosylglycohydrolase	0.20757093292500234	0.6486779802453702	1	Host	COG1397	GC_00006653, GC_00011770, GC_00015815, GC_00019115, GC_00019544, GC_00022373, GC_00022852, GC_00023219, GC_00027685, GC_00032200, GC_00032562, GC_00035380, GC_00037270	0.24	0.1905	50	21
Acetoin utilization deacetylase AcuC or a related deacetylase	0.20757093292500234	0.6486779802453702	1	Host	COG0123	GC_00002030, GC_00009827	0.24	0.1905	50	21
Lysine/ornithine N-monooxygenase	0.20757093292500234	0.6486779802453702	1	Host	COG3486	GC_00004909, GC_00007010, GC_00008056, GC_00009394, GC_00016974, GC_00023380, GC_00031603	0.24	0.1905	50	21
Uncharacterized membrane protein YbjL, putative transporter	0.2017072202567135	0.6533463416716911	1	Host	COG2985	GC_00001231, GC_00001731, GC_00003383, GC_00003449, GC_00006077, GC_00007395, GC_00007396, GC_00016588, GC_00019057	0.72	0.6667	50	21
DNA-binding transcriptional regulator, XRE-family HTH domain	0.19910459212884002	0.6554445662138777	1	Environment	COG1476	GC_00001429, GC_00001647, GC_00003022, GC_00005088, GC_00008736, GC_00012366, GC_00013163, GC_00021038, GC_00023132, GC_00024405, GC_00029160, GC_00030188, GC_00035791	0.66	0.7143	50	21
S-adenosylhomocysteine hydrolase	0.19910459212884002	0.6554445662138777	1	Environment	COG0499	GC_00001093	0.66	0.7143	50	21
Tellurite resistance protein TehA and related permeases	0.19910459212884002	0.6554445662138777	1	Environment	COG1275	GC_00002869, GC_00004884, GC_00006062, GC_00006782, GC_00007443, GC_00008097, GC_00008868, GC_00009125, GC_00010742, GC_00011169, GC_00011259, GC_00011468, GC_00011877, GC_00012185, GC_00012941, GC_00013362, GC_00020827, GC_00025288, GC_00026307, GC_00030620, GC_00033849, GC_00038050, GC_00039415, GC_00041740	0.66	0.7143	50	21
Restriction endonuclease Mrr	0.19910459212883996	0.6554445662138778	1	Host	COG1715	GC_00003033, GC_00003073, GC_00003277, GC_00010323, GC_00018042, GC_00030254, GC_00033300	0.34	0.2857	50	21
N-acetylglucosamine-6-phosphate deacetylase	0.18988819407761115	0.6630096888938233	1	Host	COG1820	GC_00002625, GC_00002871, GC_00004435, GC_00004751, GC_00007778, GC_00009877, GC_00011060, GC_00028781, GC_00029039, GC_00038990, GC_00039550, GC_00041850	0.58	0.5238	50	21
Uncharacterized membrane protein YwaF	0.16320635039410372	0.686221501386737	1	Environment	COG5522	GC_00003135, GC_00005502, GC_00010020, GC_00013062, GC_00037389, GC_00041902	0.24	0.2857	50	21
Cytidine deaminase	0.15706351429957244	0.6918745845039322	1	Host	COG0295	GC_00001636, GC_00003473, GC_00004646, GC_00009263, GC_00015666	0.48	0.4286	50	21
Formate/nitrite transporter FocA, FNT family	0.14624817627596307	0.7021468326987386	1	Host	COG2116	GC_00001574, GC_00004749, GC_00004850, GC_00005553, GC_00011747, GC_00014111, GC_00014115, GC_00016811	0.62	0.5714	50	21
Membrane protein involved in colicin uptake	0.14624817627596307	0.7021468326987386	1	Host	COG3064	GC_00004912, GC_00006462, GC_00007476, GC_00009680, GC_00010577, GC_00010803, GC_00011234, GC_00011999, GC_00013566, GC_00013920, GC_00014132, GC_00014709, GC_00015650, GC_00015936, GC_00016421, GC_00017337, GC_00017474, GC_00017811, GC_00018090, GC_00019019, GC_00020105, GC_00020481, GC_00021623, GC_00022082, GC_00023957, GC_00024134, GC_00026229, GC_00026875, GC_00027188, GC_00027577, GC_00028217, GC_00031023, GC_00031769, GC_00032675, GC_00036759, GC_00036765, GC_00036934, GC_00037235, GC_00037917, GC_00038445, GC_00038477, GC_00041562	0.62	0.5714	50	21
Di- and tricarboxylate transporter	0.144923072578393	0.7034350478703748	1	Environment	COG0471	GC_00000992, GC_00002027, GC_00002938, GC_00003224, GC_00003673, GC_00005160, GC_00005562, GC_00005749, GC_00006333, GC_00006542, GC_00009008, GC_00009790, GC_00011016, GC_00011926, GC_00038384	0.82	0.8571	50	21
mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system	0.1449230725783928	0.703435047870375	1	Host	COG2026	GC_00004579, GC_00005474, GC_00009140, GC_00010124	0.18	0.1429	50	21
Inorganic triphosphatase YgiF, contains CYTH and CHAD domains	0.1449230725783928	0.703435047870375	1	Host	COG3025	GC_00005035, GC_00012037, GC_00015452, GC_00025515, GC_00025773, GC_00030515, GC_00031159	0.18	0.1429	50	21
Periplasmic protein TonB, links inner and outer membranes	0.13896342139984846	0.7093136938631193	1	Host	COG0810	GC_00004523, GC_00005952, GC_00007007, GC_00007153, GC_00008343, GC_00010443, GC_00011141, GC_00018392, GC_00018853, GC_00021958, GC_00023017, GC_00024285, GC_00025018, GC_00026945, GC_00028327, GC_00031277, GC_00034423, GC_00034493, GC_00034662, GC_00038187	0.38	0.3333	50	21
2-keto-4-pentenoate hydratase	0.13896342139984846	0.7093136938631193	1	Host	COG3971	GC_00001787, GC_00002854, GC_00010026, GC_00020119, GC_00028592, GC_00031714, GC_00035948, GC_00041105	0.38	0.3333	50	21
UTP:GlnB (protein PII) uridylyltransferase	0.13896342139984824	0.7093136938631195	1	Environment	COG2844	GC_00001475, GC_00004419, GC_00005536, GC_00007022, GC_00008806, GC_00012506, GC_00019682, GC_00026405, GC_00034696, GC_00034714, GC_00037757	0.62	0.6667	50	21
Uncharacterized conserved protein, DUF2249 family	0.13246996805708194	0.7158847128867881	1	Host	COG4309	GC_00001984, GC_00008775, GC_00010790	0.28	0.2381	50	21
H+/gluconate symporter or related permease	0.13246996805708183	0.7158847128867881	1	Environment	COG2610	GC_00001376, GC_00001688, GC_00003300, GC_00003644, GC_00003802, GC_00003930, GC_00006047, GC_00006222, GC_00007909, GC_00011261, GC_00011538, GC_00036986, GC_00041531	0.72	0.7619	50	21
Phage- or plasmid-associated DNA primase	0.12883012789332585	0.7196480992457918	1	Environment	COG3378	GC_00003161, GC_00016168, GC_00017774, GC_00020310, GC_00020406, GC_00023130, GC_00023149, GC_00024524, GC_00028093, GC_00029792, GC_00033858, GC_00036439	0.2	0.2381	50	21
Prophage antirepressor	0.12883012789332585	0.7196480992457918	1	Environment	COG3617	GC_00002358, GC_00005406, GC_00011963, GC_00012360, GC_00014402, GC_00016408, GC_00016486, GC_00018447	0.2	0.2381	50	21
DNA modification methylase	0.12883012789332585	0.7196480992457918	1	Environment	COG0863	GC_00003575, GC_00005291, GC_00009233, GC_00011442, GC_00014999, GC_00020650, GC_00022903, GC_00023231, GC_00024978, GC_00028558, GC_00036976	0.2	0.2381	50	21
Purine nucleoside phosphorylase	0.09794954155753854	0.7543042790984138	1	Environment	COG0005	GC_00002312	0.16	0.1905	50	21
Leucine-rich repeat (LRR) protein	0.09794954155753854	0.7543042790984138	1	Environment	COG4886	GC_00010282, GC_00012484, GC_00023266, GC_00026986, GC_00029592, GC_00030359, GC_00031256, GC_00034541, GC_00035512, GC_00036077, GC_00038657	0.16	0.1905	50	21
Putative transcriptional regulator, AlgH/UPF0301 family	0.09794954155753768	0.7543042790984149	1	Host	COG1678	GC_00000877, GC_00020907, GC_00032503	0.84	0.8095	50	21
Uncharacterized PurR-regulated membrane protein YhhQ, DUF165 family	0.09794954155753768	0.7543042790984149	1	Host	COG1738	GC_00000853	0.84	0.8095	50	21
nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	0.09794954155753768	0.7543042790984149	1	Host	COG0618	GC_00001641, GC_00002751, GC_00002932, GC_00003267, GC_00005666, GC_00012090, GC_00013720, GC_00028970, GC_00037957, GC_00038232, GC_00041760	0.84	0.8095	50	21
Na+-dependent transporter, SNF family	0.09309469640361494	0.7602791498494479	1	Environment	COG0733	GC_00001061	0.58	0.619	50	21
Phosphoglycolate phosphatase, HAD superfamily	0.0909833448862411	0.7629307387799779	1	Environment	COG0546	GC_00001939, GC_00002839, GC_00002862, GC_00004024, GC_00004443, GC_00004645, GC_00005567, GC_00005729, GC_00007389, GC_00007671, GC_00007864, GC_00008696, GC_00011434, GC_00012197, GC_00012341, GC_00012416, GC_00012417, GC_00012997, GC_00017103, GC_00017752, GC_00025910, GC_00026209, GC_00029443, GC_00035793, GC_00039342	0.88	0.9048	50	21
Glucan phosphorylase	0.0909833448862411	0.7629307387799779	1	Environment	COG0058	GC_00000912, GC_00002305, GC_00003534	0.88	0.9048	50	21
Diaminopimelate epimerase	0.0909833448862411	0.7629307387799779	1	Environment	COG0253	GC_00000791, GC_00012299	0.88	0.9048	50	21
Conserved protein containing a Zn-ribbon-like motif, possibly RNA-binding	0.09098334488624059	0.7629307387799785	1	Host	COG5516	GC_00011343, GC_00013407, GC_00016858, GC_00026828, GC_00030100, GC_00033131, GC_00034756, GC_00040485	0.12	0.0952	50	21
Nicotinamide riboside transporter PnuC	0.07827980162212778	0.7796422474840112	1	Environment	COG3201	GC_00001371, GC_00014127	0.44	0.4762	50	21
Ascorbate-specific PTS system EIIC-type component UlaA	0.07827980162212778	0.7796422474840112	1	Environment	COG3037	GC_00001369, GC_00010071, GC_00011791, GC_00031276	0.44	0.4762	50	21
p-Aminobenzoyl-glutamate transporter AbgT	0.07723283199220815	0.78108301640931	1	Environment	COG2978	GC_00001220, GC_00001431	0.78	0.8095	50	21
Trehalose and maltose hydrolase (possible phosphorylase)	0.07723283199220789	0.7810830164093104	1	Host	COG1554	GC_00002046	0.22	0.1905	50	21
NAD/NADP transhydrogenase alpha subunit	0.07723283199220789	0.7810830164093104	1	Host	COG3288	GC_00002040	0.22	0.1905	50	21
Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	0.07723283199220789	0.7810830164093104	1	Host	COG0075	GC_00002373, GC_00009391, GC_00014758	0.22	0.1905	50	21
Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	0.07668757571172022	0.7818375292920143	1	Environment	COG3384	GC_00002219, GC_00003388, GC_00006774	0.3	0.3333	50	21
Uncharacterized membrane protein YraQ, UPF0718 family	0.07668757571172022	0.7818375292920143	1	Environment	COG0701	GC_00003129, GC_00003518, GC_00006390, GC_00015770, GC_00017245, GC_00019278, GC_00019391, GC_00019414, GC_00026820, GC_00034084, GC_00036122	0.3	0.3333	50	21
Uncharacterized membrane protein YeiB	0.07005631519022427	0.7912548029424733	1	Host	COG2311	GC_00002056, GC_00003756, GC_00004477, GC_00005339, GC_00005770, GC_00006169, GC_00006464, GC_00007072, GC_00007073, GC_00007127, GC_00007561, GC_00008737, GC_00009284, GC_00009297, GC_00009848, GC_00009984, GC_00010240, GC_00010612, GC_00010800, GC_00010811, GC_00011893, GC_00012724, GC_00012950, GC_00014015, GC_00014612, GC_00015086, GC_00016243, GC_00016782, GC_00016981, GC_00017582, GC_00017630, GC_00018153, GC_00018158, GC_00019002, GC_00019597, GC_00019669, GC_00019794, GC_00021101, GC_00021205, GC_00022178, GC_00023198, GC_00024498, GC_00024828, GC_00024939, GC_00027018, GC_00027506, GC_00028068, GC_00028341, GC_00028610, GC_00028639, GC_00029184, GC_00029576, GC_00030081, GC_00030169, GC_00032513, GC_00033039, GC_00033255, GC_00033315, GC_00033930, GC_00034039, GC_00034077, GC_00034268, GC_00034605, GC_00034858, GC_00034908, GC_00035406, GC_00035981, GC_00036438, GC_00037730, GC_00038028, GC_00038708, GC_00038787, GC_00038950, GC_00039849, GC_00040957, GC_00041030, GC_00041090, GC_00041288, GC_00041784	0.88	0.8571	50	21
Phage terminase large subunit	0.07005631519022411	0.7912548029424735	1	Environment	COG1783	GC_00007812, GC_00009602, GC_00012245, GC_00013956, GC_00030498, GC_00031191	0.12	0.1429	50	21
