species,genes.Inclusion,genes.GeneName,genes.KO,genes.Threshold,genes.Score,genes.Evalue,genes.KODefinition,Gene ID,Gene Description
Corynebacterium_marinum_DSM_44953strain_DSM_44953,*,Corynebacterium_marinum_DSM_44953strain_DSM_44953_01752,K22316,318.33,504.7,3.5e-152,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_00441,K02492,72.67,481.5,7.4e-145,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_00442,K01749,112.17,362.0,6.3e-109,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_00444,K13542,412.30,653.8,6.1e-197,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_00445,K01698,175.97,580.1,9.8e-175,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_00451,K01845,309.63,622.2,1.9e-187,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_01659,K02303,259.40,316.2,6e-95,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_01839,K00768,120.60,354.8,1.3e-106,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_maris_DSM_45190strain_DSM_45190,*,Corynebacterium_maris_DSM_45190strain_DSM_45190_01870,K22316,318.33,491.3,4.3e-148,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_00420,K02228,126.63,326.5,3.7e-98,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_00875,K01845,309.63,608.6,2.5e-183,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_00884,K01698,175.97,552.8,1.8e-166,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_00885,K01719,45.83,164.6,5.7e-49,uroporphyrinogen-III synthase [EC:4.2.1.75],hemD,uroporphyrinogen-III synthase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_00886,K01749,112.17,366.4,2.9e-110,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_00887,K02492,72.67,452.1,5.5e-136,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01723,K00798,37.20,236.3,4.5e-71,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01783,K02230,1031.53,1493.7,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01784,K02229,272.23,390.1,1.9e-117,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01785,K06042,132.10,289.5,4.8e-87,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01786,K13540,602.20,753.7,1.2e-227,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01788,K05895,156.53,345.6,6.5e-104,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01789,K05936,231.50,395.7,4.5e-119,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_01790,K00595,219.93,430.6,1e-129,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02063,K02303,259.40,328.1,1.5e-98,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02065,K02224,128.03,585.8,1.4e-176,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02067,K19221,114.37,226.7,5.2e-68,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02074,K02232,241.80,654.5,3.1e-197,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02253,K02231,47.07,197.5,5.1e-59,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02254,K00768,120.60,479.0,3.4e-144,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02255,K02233,72.47,179.1,2.2e-53,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02292,K22316,318.33,486.6,1.2e-146,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_matruchotii,*,Corynebacterium_matruchotii_02301,K02227,96.90,332.3,6.5e-100,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_00740,K22316,318.33,474.6,4.8e-143,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_00775,K00768,120.60,209.4,1.3e-62,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_01863,K02303,259.40,318.8,9.3e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_02207,K01845,309.63,611.6,2.9e-184,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_02225,K01698,175.97,570.6,6.8e-172,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_02226,K13542,412.30,631.2,4e-190,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_02227,K01749,112.17,349.0,5.2e-105,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_minutissimum_NCTC10288,*,Corynebacterium_minutissimum_NCTC10288_02228,K02492,72.67,474.6,8.5e-143,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_00337,K02492,72.67,422.1,8e-127,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_00338,K01749,112.17,367.2,2e-110,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_00339,K01719,45.83,169.0,3.3e-50,uroporphyrinogen-III synthase [EC:4.2.1.75],hemD,uroporphyrinogen-III synthase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_00340,K01698,175.97,569.9,1.5e-171,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_00345,K01845,309.63,602.1,2.7e-181,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_00961,K02228,126.63,335.8,6.5e-101,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01586,K02230,1031.53,1495.4,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01587,K02229,272.23,405.2,6.3e-122,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01588,K06042,132.10,292.3,8.2e-88,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01589,K13540,602.20,764.0,1.1e-230,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01591,K05895,156.53,347.1,2.8e-104,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01592,K05936,231.50,391.0,1.5e-117,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01593,K00595,219.93,429.0,3.9e-129,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01873,K02303,259.40,317.2,3.6e-95,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01875,K02224,128.03,617.3,5e-186,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01881,K19221,114.37,228.4,1.9e-68,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_01887,K02232,241.80,650.2,7.5e-196,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02209,K02231,47.07,199.8,1.3e-59,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02210,K00768,120.60,474.6,8.5e-143,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02211,K02233,72.47,165.6,3.5e-49,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02254,K22316,318.33,516.0,1.7e-155,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02264,K02227,96.90,345.0,1.1e-103,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02308,K04719,214.00,286.3,7.4e-86,"5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",bluB,"5,6-dimethylbenzimidazole synthase "
Corynebacterium_mustelaestrain_DSM_45274,*,Corynebacterium_mustelaestrain_DSM_45274_02550,K00798,37.20,236.9,3.6e-71,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_00230,K01719,45.83,146.0,2.8e-43,uroporphyrinogen-III synthase [EC:4.2.1.75],hemD,uroporphyrinogen-III synthase
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_00362,K02303,259.40,320.9,2.5e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_nuruki_S6_4,,Corynebacterium_nuruki_S6_4_00852,K00768,120.60,104.8,6.8e-31,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_nuruki_S6_4,,Corynebacterium_nuruki_S6_4_01077,K22316,318.33,158.3,5.1e-47,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_01454,K01845,309.63,610.3,8.3e-184,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_01458,K01698,175.97,553.1,1.6e-166,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_01461,K13542,412.30,638.3,3.3e-192,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_01462,K01749,112.17,329.3,5.7e-99,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_nuruki_S6_4,*,Corynebacterium_nuruki_S6_4_01463,K02492,72.67,456.0,4e-137,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00457,K00798,37.20,239.3,4.5e-72,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00656,K02227,96.90,343.9,1.7e-103,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00664,K22316,318.33,533.2,6.5e-161,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00721,K02233,72.47,164.3,5.9e-49,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00722,K00768,120.60,469.2,2.6e-141,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00723,K02231,47.07,197.0,6.1e-59,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00858,K02232,241.80,666.6,5.5e-201,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00865,K19221,114.37,235.0,1.3e-70,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00866,K02224,128.03,615.1,1.6e-185,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_00868,K02303,259.40,319.9,3.8e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01122,K00595,219.93,433.2,1.4e-130,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01123,K05936,231.50,395.2,5.5e-119,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01124,K05895,156.53,322.9,4.3e-97,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01125,K13540,602.20,747.2,9.7e-226,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01126,K06042,132.10,301.7,7.9e-91,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01127,K02229,272.23,399.6,2.1e-120,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01128,K02230,1031.53,1503.5,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01552,K02228,126.63,338.1,9.1e-102,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01972,K01845,309.63,619.2,1.2e-186,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01978,K01698,175.97,570.4,7.0000000000000006e-172,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01979,K13542,412.30,642.4,1.4e-193,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01980,K01749,112.17,369.7,2.4e-111,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_pelargistrain_136_3,*,Corynebacterium_pelargistrain_136_3_01981,K02492,72.67,461.0,9.5e-139,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00353,K02492,72.67,472.4,4e-142,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00354,K01749,112.17,350.3,2.1e-105,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00355,K13542,412.30,633.1,1.1e-190,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00356,K01698,175.97,548.6,3.3e-165,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00365,K01845,309.63,611.1,4.1e-184,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00796,K22316,318.33,448.1,5.2e-135,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_phocaestrain_M408_89_1,*,Corynebacterium_phocaestrain_M408_89_1_00850,K00768,120.60,285.5,1.2e-85,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_00523,K02492,72.67,462.8,3.4e-139,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_00524,K01749,112.17,336.4,3.6e-101,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_00525,K13542,412.30,635.3,2.5e-191,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_00526,K01698,175.97,556.8,1.1e-167,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_00530,K01845,309.63,611.5,3.5e-184,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_00613,K01719,45.83,150.1,1.5e-44,uroporphyrinogen-III synthase [EC:4.2.1.75],hemD,uroporphyrinogen-III synthase
Corynebacterium_provencensestrain_17KM38,*,Corynebacterium_provencensestrain_17KM38_01198,K02303,259.40,336.7,3.8e-101,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
